1.75	-0.0259332	0.0129031
2.435	0.0260219	-0.0197566
3.12	-0.0183685	-0.000740069
3.805	-0.0181637	-0.0571372
4.49	-0.00485752	-0.0557912
5.175	0.00840377	0.0363594
5.86	0.00477327	0.00655885
6.545	0.0066216	-0.0298492
7.23	-0.0474118	0.0267321
7.915	0.0509098	0.0538273
8.6	0.00895581	-0.00906465
9.285	-0.0447926	-0.0137081
9.97	0.0293453	-0.00221943
10.655	0.0188641	0.00866266
11.34	0.00914905	-0.0291779
12.025	0.00780548	-0.0291164
12.71	0.0277312	0.0166455
13.395	-0.0242508	0.018095
14.08	-0.00376153	0.0267334
14.765	0.00259665	0.00530022
15.45	0.0560713	0.00941546
